1.4, 66.9
4.8, 77.0
9.5, 59.0
11.6, 60.8
15.3, 79.7
19.8, 66.0
25.6, 80.8
30.0, 63.1
36.1, 85.5
39.9, 59.3
42.6, 59.6
48.7, 84.3
50.4, 65.7
53.5, 59.9
59.6, 80.8
62.7, 81.1
66.4, 59.9
70.9, 74.7
73.9, 78.8
79.7, 59.3
85.5, 82.3
92.0, 54.9
99.1, 80.5
103.9, 57.8
111.1, 81.7
115.5, 58.4
119.6, 76.2
122.7, 83.1
129.8, 59.0
133.6, 71.2
136.6, 79.9
139.4, 66.6
142.1, 68.6
144.5, 82.0
148.6, 65.4
153.3, 78.5
156.4, 84.3
160.8, 66.6
164.9, 82.6
167.3, 85.2
173.8, 59.9
180.6, 83.1
185.3, 57.6
191.8, 79.4
196.9, 57.6
199.7, 61.6
