2.4, 59.6
4.4, 66.0
7.2, 61.9
8.2, 66.0
9.9, 59.3
11.6, 66.9
14.0, 63.4
16.4, 69.2
18.5, 60.8
21.5, 76.2
23.9, 79.4
26.7, 71.8
28.0, 77.6
29.7, 76.5
32.1, 87.8
33.8, 89.0
34.9, 91.3
37.3, 83.7
38.6, 86.0
40.3, 82.6
41.4, 86.9
43.8, 80.8
45.8, 82.6
47.9, 73.0
48.2, 77.3
51.6, 72.1
53.7, 69.5
56.1, 77.6
58.1, 64.2
59.5, 70.1
62.2, 66.9
62.9, 73.5
65.3, 67.2
67.4, 70.6
69.4, 64.8
71.1, 70.6
73.2, 66.6
74.2, 74.7
75.2, 68.9
76.9, 65.7
77.9, 69.2
80.7, 68.3
82.4, 82.6
84.4, 79.4
85.8, 81.1
87.5, 74.1
89.9, 77.3
91.6, 74.4
92.6, 79.1
95.0, 78.2
96.1, 83.4
97.1, 77.3
98.8, 72.1
99.5, 76.2
102.2, 66.6
103.6, 75.9
107.0, 84.0
106.0, 77.6
109.4, 74.7
110.8, 78.2
114.2, 82.6
115.9, 78.8
116.6, 81.1
118.3, 79.1
121.4, 84.6
123.1, 80.5
124.4, 82.3
125.5, 77.9
126.8, 79.1
130.6, 67.7
132.3, 70.3
135.4, 56.7
136.4, 65.7
139.1, 58.1
141.5, 66.3
143.2, 61.0
144.3, 57.6
147.7, 64.5
149.7, 52.3
152.8, 67.7
155.9, 63.4
156.6, 70.1
158.6, 63.7
160.7, 77.6
162.4, 74.1
164.4, 85.2
166.5, 77.3
167.5, 83.4
170.3, 75.0
171.3, 77.9
173.7, 70.9
176.1, 75.6
178.5, 66.9
182.2, 75.6
180.9, 72.4
183.9, 73.8
185.6, 57.6
189.1, 67.4
190.4, 64.2
193.5, 77.6
194.9, 61.3
196.9, 72.7
197.9, 64.2
